[MC913] start p=0.999 (32 workers)
[MC913] p=0.996 fail=1899/800 pass=1 total=1900 ratio=0.999474
[MC913] p=0.996 fail=1999/800 pass=1 total=2000 ratio=0.9995
[MC913] p=0.996 fail=2099/800 pass=1 total=2100 ratio=0.999524
[MC913] p=0.996 fail=2199/800 pass=1 total=2200 ratio=0.999545
[MC913] p=0.996 fail=2299/800 pass=1 total=2300 ratio=0.999565
[MC913] p=0.996 fail=2399/800 pass=1 total=2400 ratio=0.999583
[MC913] p=0.996 fail=2499/800 pass=1 total=2500 ratio=0.9996
[MC913] p=0.996 fail=2599/800 pass=1 total=2600 ratio=0.999615
[MC913] p=0.996 fail=2698/800 pass=2 total=2700 ratio=0.999259
[MC913] p=0.996 fail=2798/800 pass=2 total=2800 ratio=0.999286
[MC913] p=0.996 fail=2898/800 pass=2 total=2900 ratio=0.99931
[MC913] p=0.996 fail=2998/800 pass=2 total=3000 ratio=0.999333
[MC913] p=0.996 fail=3098/800 pass=2 total=3100 ratio=0.999355
[MC913] p=0.996 fail=3198/800 pass=2 total=3200 ratio=0.999375
[MC913] done p=0.996 ratio_fail=0.999375 ratio/p=1.00339 total=3200 elapsed=13.8s
[MC913] start p=0.995 (32 workers)
[MC913] p=0.995 fail=100/800 pass=0 total=100 ratio=1
[MC913] p=0.995 fail=200/800 pass=0 total=200 ratio=1
[MC913] p=0.995 fail=300/800 pass=0 total=300 ratio=1
[MC913] p=0.995 fail=400/800 pass=0 total=400 ratio=1
[MC913] p=0.995 fail=500/800 pass=0 total=500 ratio=1
[MC913] p=0.995 fail=698/800 pass=2 total=700 ratio=0.997143
[MC913] p=0.995 fail=798/800 pass=2 total=800 ratio=0.9975
[MC913] p=0.995 fail=898/800 pass=2 total=900 ratio=0.997778
[MC913] p=0.995 fail=998/800 pass=2 total=1000 ratio=0.998
[MC913] p=0.995 fail=1097/800 pass=3 total=1100 ratio=0.997273
[MC913] p=0.995 fail=1197/800 pass=3 total=1200 ratio=0.9975
[MC913] p=0.995 fail=1297/800 pass=3 total=1300 ratio=0.997692
[MC913] p=0.995 fail=1396/800 pass=4 total=1400 ratio=0.997143
[MC913] p=0.995 fail=1496/800 pass=4 total=1500 ratio=0.997333
[MC913] p=0.995 fail=1595/800 pass=5 total=1600 ratio=0.996875
[MC913] p=0.995 fail=1695/800 pass=5 total=1700 ratio=0.997059
[MC913] p=0.995 fail=1795/800 pass=5 total=1800 ratio=0.997222
[MC913] p=0.995 fail=1895/800 pass=5 total=1900 ratio=0.997368
[MC913] p=0.995 fail=1995/800 pass=5 total=2000 ratio=0.9975
[MC913] p=0.995 fail=2095/800 pass=5 total=2100 ratio=0.997619
[MC913] p=0.995 fail=2195/800 pass=5 total=2200 ratio=0.997727
[MC913] p=0.995 fail=2295/800 pass=5 total=2300 ratio=0.997826
[MC913] p=0.995 fail=2395/800 pass=5 total=2400 ratio=0.997917
[MC913] p=0.995 fail=2495/800 pass=5 total=2500 ratio=0.998
[MC913] p=0.995 fail=2595/800 pass=5 total=2600 ratio=0.998077
[MC913] p=0.995 fail=2695/800 pass=5 total=2700 ratio=0.998148
[MC913] p=0.995 fail=2795/800 pass=5 total=2800 ratio=0.998214
[MC913] p=0.995 fail=2895/800 pass=5 total=2900 ratio=0.998276
[MC913] p=0.995 fail=2995/800 pass=5 total=3000 ratio=0.998333
[MC913] p=0.995 fail=3094/800 pass=6 total=3100 ratio=0.998065
[MC913] p=0.995 fail=3194/800 pass=6 total=3200 ratio=0.998125
[MC913] done p=0.995 ratio_fail=0.998125 ratio/p=1.00314 total=3200 elapsed=13.8s
[MC913] start p=0.994 (32 workers)
[MC913] p=0.994 fail=100/800 pass=0 total=100 ratio=1
[MC913] p=0.994 fail=200/800 pass=0 total=200 ratio=1
[MC913] p=0.994 fail=300/800 pass=0 total=300 ratio=1
[MC913] p=0.994 fail=400/800 pass=0 total=400 ratio=1
[MC913] p=0.994 fail=599/800 pass=1 total=600 ratio=0.998333
[MC913] p=0.994 fail=699/800 pass=1 total=700 ratio=0.998571
[MC913] p=0.994 fail=799/800 pass=1 total=800 ratio=0.99875
[MC913] p=0.994 fail=899/800 pass=1 total=900 ratio=0.998889
[MC913] p=0.994 fail=999/800 pass=1 total=1000 ratio=0.999
[MC913] p=0.994 fail=1099/800 pass=1 total=1100 ratio=0.999091
[MC913] p=0.994 fail=1199/800 pass=1 total=1200 ratio=0.999167
[MC913] p=0.994 fail=1299/800 pass=1 total=1300 ratio=0.999231
[MC913] p=0.994 fail=1399/800 pass=1 total=1400 ratio=0.999286
[MC913] p=0.994 fail=1499/800 pass=1 total=1500 ratio=0.999333
[MC913] p=0.994 fail=1599/800 pass=1 total=1600 ratio=0.999375
[MC913] p=0.994 fail=1699/800 pass=1 total=1700 ratio=0.999412
[MC913] p=0.994 fail=1799/800 pass=1 total=1800 ratio=0.999444
[MC913] p=0.994 fail=1899/800 pass=1 total=1900 ratio=0.999474
[MC913] p=0.994 fail=1999/800 pass=1 total=2000 ratio=0.9995
[MC913] p=0.994 fail=2099/800 pass=1 total=2100 ratio=0.999524
[MC913] p=0.994 fail=2199/800 pass=1 total=2200 ratio=0.999545
[MC913] p=0.994 fail=2299/800 pass=1 total=2300 ratio=0.999565
[MC913] p=0.994 fail=2399/800 pass=1 total=2400 ratio=0.999583
[MC913] p=0.994 fail=2499/800 pass=1 total=2500 ratio=0.9996
[MC913] p=0.994 fail=2599/800 pass=1 total=2600 ratio=0.999615
[MC913] p=0.994 fail=2699/800 pass=1 total=2700 ratio=0.99963
[MC913] p=0.994 fail=2799/800 pass=1 total=2800 ratio=0.999643
[MC913] p=0.994 fail=2899/800 pass=1 total=2900 ratio=0.999655
[MC913] p=0.994 fail=2999/800 pass=1 total=3000 ratio=0.999667
